dog_breed,category,size_category,weight_kg,weight_lbs,shoulder_height_cm,shoulder_height_in
Irish Water Spaniel,sporting,medium,25,55,57,22.5
Japanese Chin,toy,small,no data,no data,24,9.5
Keeshond,non-sporting,medium,no data,no data,44,17.5
Komondor,working,large,45,100,70,27.5
Kuvasz,working,large,42,92.5,71,28
Lakeland Terrier,terrier,small,8,17,37,14.5
Leonberger,working,large,no data,no data,72,28.5
Looked - nothing,,,,,,
Löwchen,non-sporting,small,no data,no data,33,13
Manchester Terrier,terrier,small,8,17,no data,no data
Miniature Bull Terrier,terrier,small,no data,no data,30,12
Miniature Pinscher,toy,small,no data,no data,29,11.25
Neapolitan Mastiff,working,large,59,130,70,27.5
Norwegian Buhund,herding,medium,15,33,44,17.25
Norwegian Elkhound,hound,medium,23,51.5,51,20
Norwegian Lundehund,non-sporting,small,no data,no data,34,13.5
Norwich Terrier,terrier,small,5,12,25,10
NOT POSSIBLE IF NO INTELLIGENCE DATA,,,,,,
Nova Scotia Duck Tolling Retriever,sporting,medium,no data,no data,48,19
Otterhound,hound,large,44,97.5,65,25.5
Parson Russell Terrier,terrier,small,7,15,34,13.5
Petit Basset Griffon Vendeen,hound,small,no data,no data,36,14
Plott,hound,medium,23,50,57,22.5
Polish Lowland Sheepdog,herding,medium,no data,no data,47,18.5
Portuguese Water Dog,working,medium,22,47.5,51,20
Puli,herding,medium,no data,no data,42,16.5
Pyrenean Shepherd,herding,medium,no data,no data,46,18
Redbone Coonhound,hound,large,no data,no data,61,24
Schipperke,non-sporting,small,no data,no data,29,11.5
Scottish Deerhound,hound,large,42,92.5,no data,no data
Sealyham Terrier,terrier,small,11,24,27,10.5
Shiba Inu,non-sporting,small,9,20,38,15
Silky Terrier,toy,small,5,10,24,9.5
Skye Terrier,terrier,small,18,40,25,9.75
Smooth Fox Terrier,terrier,small,8,17.5,38,15
Soft-Coated Wheaten Terrier,terrier,medium,16,35,46,18
Spinone Italiano,sporting,large,no data,no data,62,24.5
Standard Schnauzer,working,medium,no data,no data,47,18.5
Sussex Spaniel,sporting,small,18,40,36,14
Swedish Vallhund,herding,small,no data,no data,32,12.5
Tibetan Mastiff,working,large,no data,no data,64,25
Toy Fox Terrier,toy,small,no data,no data,25,10
Vizsla,sporting,medium,no data,no data,57,22.5
Weimaraner,sporting,large,no data,no data,64,25
Welsh Terrier,terrier,small,9,20,38,15
Wire Fox Terrier,terrier,small,8,17.5,38,15
Wirehaired Pointing Griffon,sporting,medium,no data,no data,56,22
Xoloitzcuintli,non-sporting,medium,no data,no data,42,16.5
